"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","微信模块","创建标签","0","0","1","0","0"
"","微信模块","获取接口统一鉴权码","0","0","1","0","0"
"接口自动化测试项目","测试模块","柑橘接口","0","0","2","0","0"
"接口自动化测试项目","DEMO案例","获取一言名句","0","0","2","0","0"
"","微信模块","获取公共号已创建的标签","0","0","1","0","0"
"","微信模块","删除标签","0","0","2","0","0"
"","微信模块","文件上传","0","0","1","0","0"
"接口自动化测试项目","phpwind论坛","phpwind论坛登录接口","0","0","1","0","0"
"接口自动化测试项目","测试模块","天草接口","0","0","1","0","0"
"接口自动化测试项目","phpwind论坛","访问phpwind论坛首页","0","0","1","0","0"
