"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 07 14:03:02 CST 2022","Tue Jun 07 14:03:02 CST 2022","156","testcases.wx","test_wx","TestWx","","","test_create_flag[caseinfo0]",""
"passed","Tue Jun 07 14:03:02 CST 2022","Tue Jun 07 14:03:02 CST 2022","220","testcases.wx","test_wx","TestWx","","","test_get_token[caseinfo0]",""
"passed","Tue Jun 07 14:03:02 CST 2022","Tue Jun 07 14:03:02 CST 2022","0","testcases.test_api","test_api","TestApi","","","柑橘打印用例",""
"passed","Tue Jun 07 14:03:01 CST 2022","Tue Jun 07 14:03:01 CST 2022","21","testcases.demo","test_demo","TestPhpwind","","","test_sentences[caseinfo1]",""
"passed","Tue Jun 07 14:03:02 CST 2022","Tue Jun 07 14:03:02 CST 2022","130","testcases.wx","test_wx","TestWx","","","test_select_flag[caseinfo0]",""
"passed","Tue Jun 07 14:03:01 CST 2022","Tue Jun 07 14:03:01 CST 2022","105","testcases.demo","test_demo","TestPhpwind","","","test_sentences[caseinfo0]",""
"passed","Tue Jun 07 14:03:02 CST 2022","Tue Jun 07 14:03:02 CST 2022","154","testcases.wx","test_wx","TestWx","","","test_delete_flag[caseinfo0]",""
"passed","Tue Jun 07 14:03:02 CST 2022","Tue Jun 07 14:03:03 CST 2022","500","testcases.wx","test_wx","TestWx","","","test_file_upload[caseinfo0]",""
"passed","Tue Jun 07 14:03:01 CST 2022","Tue Jun 07 14:03:01 CST 2022","115","testcases.phpwind","test_phpwind","TestPhpwind","","","test_phpwind_login[caseinfo0]",""
"passed","Tue Jun 07 14:03:01 CST 2022","Tue Jun 07 14:03:01 CST 2022","0","testcases.test_api","test_api","TestApi","","","天草打印用例","用例描述，此接口打印天草"
"passed","Tue Jun 07 14:03:01 CST 2022","Tue Jun 07 14:03:01 CST 2022","182","testcases.phpwind","test_phpwind","TestPhpwind","","","test_phpwind_index[caseinfo0]",""
"passed","Tue Jun 07 14:03:02 CST 2022","Tue Jun 07 14:03:02 CST 2022","0","testcases.test_api","test_api","TestApi","","","柑橘打印用例",""
"passed","Tue Jun 07 14:03:02 CST 2022","Tue Jun 07 14:03:02 CST 2022","76","testcases.wx","test_wx","TestWx","","","test_delete_flag[caseinfo1]",""
